Age	Appearance	EducationBackground	Wealth		Outcome		
25-35	nice		high			rich		like
25-35	nice		high			normal		dislike
36-45	nice		high			normal		dislike
36-45	common		low			rich		like
25-35	common		high			normal		like
36-45	nice		low			rich		dislike
36-45	nice		low			normal		dislike
25-35	common		high			rich		like
36-45	common		low			normal		like
36-45	nice		low			rich		dislike
25-35	common		low			rich		dislike
25-35	nice		low			normal		like
25-35	common		low			normal		like
36-45	nice		low			normal		dislike
36-45	nice		low			rich		dislike
25-35	common		high			normal		like
25-35	common		high			rich		like
25-35	common		high			rich		like
36-45	nice		high			normal		dislike
36-45	common		low			rich		dislike
25-35	nice		low			normal		like
25-35	common		low			normal		dislike
25-35	common		low			normal		dislike
36-45	common		low			rich		dislike
36-45	nice		low			normal		like
25-35	common		low			rich		like
25-35	common		low			normal		dislike
25-35	common		high			normal		like
25-35	nice		high			rich		like
36-45	common		high			normal		dislike
36-45	nice		low			rich		dislike
36-45	common		low			normal		dislike
25-35	nice		low			rich		like
25-35	common		high			normal		like
