Age	Appearance	EducationBackground	Wealth		LikeUser		
25-35	nice		high			rich		yes
25-35	nice		high			normal		no
36-45	nice		high			normal		no
36-45	common		low			rich		yes
25-35	common		high			normal		yes
36-45	nice		low			rich		no
36-45	nice		low			normal		no
25-35	common		high			rich		yes
36-45	common		low			normal		yes
36-45	nice		low			rich		no
25-35	common		low			rich		no
25-35	nice		low			normal		yes
25-35	common		low			normal		yes
36-45	nice		low			normal		no
36-45	nice		low			rich		no
25-35	common		high			normal		yes
25-35	common		high			rich		yes
25-35	common		high			rich		yes
36-45	nice		high			normal		no
36-45	common		low			rich		no
25-35	nice		low			normal		yes
25-35	common		low			normal		no
25-35	common		low			normal		no
36-45	common		low			rich		no
36-45	nice		low			normal		yes
25-35	common		low			rich		yes
25-35	common		low			normal		no
25-35	common		high			normal		yes
25-35	nice		high			rich		yes
36-45	common		high			normal		no
36-45	nice		low			rich		no
36-45	common		low			normal		no
25-35	nice		low			rich		yes
25-35	common		high			normal		yes
